date,news_score,policy_score,note
2023-09-15,50,50,neutral baseline
2024-02-08,58,65,policy support and market stabilization tone
2024-04-30,52,55,earnings and reform expectations neutral positive
2024-09-24,75,85,policy package and risk appetite expansion
2024-11-08,60,68,technology and equipment policy support
2025-01-24,55,62,stabilization and growth policy expectations
2025-05-09,58,65,technology self-reliance and new quality productivity tone
2025-09-12,52,58,neutral positive policy backdrop
2025-11-14,60,70,commercial aerospace and technology theme attention
2026-02-06,62,68,technology and industrial policy attention
2026-03-27,45,50,market volatility and risk appetite cooling
2026-04-10,58,63,risk appetite recovery
2026-05-08,65,70,technology theme strength
